00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00
00, 00, 00, 00, 00, 00, 18, 19, 20, 00, 00, 00
00, 00, 00, 00, 00, 00, 17, 00, 21, 22, 23, 24
00, 00, 00, 00, 00, 00, 16, 00, 00, 00, 00, 00
00, 00, 00, 00, 00, 00, 15, 00, 00, 00, 00, 00
00, 00, 00, 00, 00, 00, 14, 00, 00, 00, 00, 00
01, 02, 03, 04, 00, 00, 13, 00, 00, 00, 00, 00
00, 00, 00, 05, 00, 00, 12, 00, 00, 00, 00, 00
00, 00, 00, 06, 00, 00, 11, 00, 00, 00, 00, 00
00, 00, 00, 07, 08, 09, 10, 00, 00, 00, 00, 00
00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00
