00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 32, 00
00, 00, 00, 00, 00, 00, 00, 00, 00, 30, 31, 00
00, 00, 00, 00, 00, 00, 00, 00, 00, 29, 00, 00
00, 00, 00, 00, 00, 00, 00, 00, 27, 28, 00, 00
00, 00, 00, 00, 00, 00, 00, 00, 26, 00, 00, 00
00, 00, 00, 00, 00, 22, 23, 24, 25, 00, 00, 00
00, 00, 00, 00, 00, 21, 00, 00, 00, 00, 00, 00
01, 02, 03, 00, 00, 20, 19, 18, 00, 00, 00, 00
00, 00, 04, 00, 00, 00, 00, 17, 16, 00, 00, 00
00, 00, 05, 06, 00, 00, 00, 00, 15, 00, 00, 00
00, 00, 00, 07, 08, 09, 00, 00, 14, 00, 00, 00
00, 00, 00, 00, 00, 10, 11, 12, 13, 00, 00, 00
