00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00
00, 00, 00, 00, 00, 20, 21, 22, 23, 24, 00, 00
00, 00, 00, 00, 00, 19, 00, 00, 00, 25, 00, 00
00, 00, 00, 00, 00, 18, 17, 16, 00, 26, 00, 00
00, 00, 00, 00, 00, 00, 00, 15, 00, 27, 00, 00
00, 00, 00, 00, 00, 00, 13, 14, 00, 28, 29, 30
00, 00, 00, 00, 00, 00, 12, 00, 00, 00, 00, 00
01, 02, 00, 00, 09, 10, 11, 00, 00, 00, 00, 00
00, 03, 00, 00, 08, 00, 00, 00, 00, 00, 00, 00
00, 04, 05, 06, 07, 00, 00, 00, 00, 00, 00, 00
00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00
00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00
